PRODUCT BACKLOG — Trợ lý AI Hành chính Văn phòng (OpenClaw),,,,,,,
ID,Chức năng,Tính năng,Đối tượng (Ai),Hành động (Muốn gì),Mục đích (Để làm gì),Độ ưu tiên,Sprint
US-025,Hạ tầng & Cài đặt,Dockerize v3,Là DevOps,muốn tạo Dockerfile cho OpenClaw,để triển khai nhanh trên server,🟡 Trung bình,Sprint 2
US-026,Hạ tầng & Cài đặt,Biến môi trường v3,Là Quản trị viên,muốn cấu hình file .env,để bảo mật thông tin nhạy cảm,🟡 Trung bình,Sprint 2
US-027,Hạ tầng & Cài đặt,Log system v3,Là Developer,muốn xem log gateway,để debug lỗi kết nối,🟡 Trung bình,Sprint 2
US-028,Hạ tầng & Cài đặt,Restart auto v3,Là Quản trị viên,muốn cài đặt pm2,để bot tự khởi động lại khi crash,🟡 Trung bình,Sprint 2
US-029,Hạ tầng & Cài đặt,Backup config v3,Là Quản trị viên,muốn sao lưu file config.json,để khôi phục khi gặp sự cố,🟡 Trung bình,Sprint 2
US-030,Hạ tầng & Cài đặt,IP Whitelist v3,Là Bảo mật,muốn giới hạn IP truy cập dashboard,để tránh xâm nhập trái phép,🟡 Trung bình,Sprint 2
US-031,Hạ tầng & Cài đặt,Cài đặt Node.js v4,Là Thành viên nhóm,muốn cài đặt Node.js 22+,để hệ thống có môi trường chạy ổn định,🟡 Trung bình,Sprint 2
US-032,Hạ tầng & Cài đặt,OpenClaw CLI v4,Là Quản trị viên,muốn chạy lệnh openclaw onboard,để xác thực môi trường,🟡 Trung bình,Sprint 2
US-033,Hạ tầng & Cài đặt,Cấu hình API Key v4,Là Quản trị viên,muốn nhập API key Anthropic Claude,để kết nối với mô hình AI,🟡 Trung bình,Sprint 2
US-034,Hạ tầng & Cài đặt,Localhost Dashboard v4,Là Người dùng,muốn mở dashboard tại localhost:18789,để theo dõi trạng thái bot,🟡 Trung bình,Sprint 2
US-035,Hạ tầng & Cài đặt,Dockerize v4,Là DevOps,muốn tạo Dockerfile cho OpenClaw,để triển khai nhanh trên server,🟡 Trung bình,Sprint 2
US-036,Hạ tầng & Cài đặt,Biến môi trường v4,Là Quản trị viên,muốn cấu hình file .env,để bảo mật thông tin nhạy cảm,🟡 Trung bình,Sprint 2
US-037,Hạ tầng & Cài đặt,Log system v4,Là Developer,muốn xem log gateway,để debug lỗi kết nối,🟡 Trung bình,Sprint 2
US-038,Hạ tầng & Cài đặt,Restart auto v4,Là Quản trị viên,muốn cài đặt pm2,để bot tự khởi động lại khi crash,🟡 Trung bình,Sprint 2
US-039,Hạ tầng & Cài đặt,Backup config v4,Là Quản trị viên,muốn sao lưu file config.json,để khôi phục khi gặp sự cố,🟡 Trung bình,Sprint 2
US-040,Hạ tầng & Cài đặt,IP Whitelist v4,Là Bảo mật,muốn giới hạn IP truy cập dashboard,để tránh xâm nhập trái phép,🟡 Trung bình,Sprint 2
US-041,Xử lý văn bản,Tóm tắt PDF type_1,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🔴 Cao,Sprint 1
US-042,Xử lý văn bản,Trích xuất công văn type_1,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🔴 Cao,Sprint 1
US-043,Xử lý văn bản,OCR hình ảnh type_1,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🔴 Cao,Sprint 1
US-044,Xử lý văn bản,Dịch thuật type_1,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🔴 Cao,Sprint 1
US-045,Xử lý văn bản,So sánh hợp đồng type_1,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🔴 Cao,Sprint 1
US-046,Xử lý văn bản,Kiểm tra chính tả type_1,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🔴 Cao,Sprint 1
US-047,Xử lý văn bản,Trích xuất bảng type_1,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🔴 Cao,Sprint 1
US-048,Xử lý văn bản,Phân loại văn bản type_1,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🔴 Cao,Sprint 1
US-049,Xử lý văn bản,Gắn nhãn bảo mật type_1,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🔴 Cao,Sprint 1
US-050,Xử lý văn bản,Tóm tắt đa file type_1,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🔴 Cao,Sprint 1
US-051,Xử lý văn bản,Tóm tắt PDF type_2,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🔴 Cao,Sprint 1
US-052,Xử lý văn bản,Trích xuất công văn type_2,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🔴 Cao,Sprint 1
US-053,Xử lý văn bản,OCR hình ảnh type_2,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🔴 Cao,Sprint 1
US-054,Xử lý văn bản,Dịch thuật type_2,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🔴 Cao,Sprint 1
US-055,Xử lý văn bản,So sánh hợp đồng type_2,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🔴 Cao,Sprint 1
US-056,Xử lý văn bản,Kiểm tra chính tả type_2,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🔴 Cao,Sprint 1
US-057,Xử lý văn bản,Trích xuất bảng type_2,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🔴 Cao,Sprint 1
US-058,Xử lý văn bản,Phân loại văn bản type_2,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🔴 Cao,Sprint 1
US-059,Xử lý văn bản,Gắn nhãn bảo mật type_2,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🔴 Cao,Sprint 1
US-060,Xử lý văn bản,Tóm tắt đa file type_2,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🔴 Cao,Sprint 1
US-061,Xử lý văn bản,Tóm tắt PDF type_3,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🟡 Trung bình,Sprint 2
US-062,Xử lý văn bản,Trích xuất công văn type_3,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🟡 Trung bình,Sprint 2
US-063,Xử lý văn bản,OCR hình ảnh type_3,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🟡 Trung bình,Sprint 2
US-064,Xử lý văn bản,Dịch thuật type_3,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🟡 Trung bình,Sprint 2
US-065,Xử lý văn bản,So sánh hợp đồng type_3,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🟡 Trung bình,Sprint 2
US-066,Xử lý văn bản,Kiểm tra chính tả type_3,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🟡 Trung bình,Sprint 2
US-067,Xử lý văn bản,Trích xuất bảng type_3,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🟡 Trung bình,Sprint 2
US-068,Xử lý văn bản,Phân loại văn bản type_3,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🟡 Trung bình,Sprint 2
US-069,Xử lý văn bản,Gắn nhãn bảo mật type_3,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🟡 Trung bình,Sprint 2
US-070,Xử lý văn bản,Tóm tắt đa file type_3,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🟡 Trung bình,Sprint 2
US-071,Xử lý văn bản,Tóm tắt PDF type_4,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🟡 Trung bình,Sprint 2
US-072,Xử lý văn bản,Trích xuất công văn type_4,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🟡 Trung bình,Sprint 2
US-073,Xử lý văn bản,OCR hình ảnh type_4,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🟡 Trung bình,Sprint 2
US-074,Xử lý văn bản,Dịch thuật type_4,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🟡 Trung bình,Sprint 2
US-075,Xử lý văn bản,So sánh hợp đồng type_4,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🟡 Trung bình,Sprint 2
US-076,Xử lý văn bản,Kiểm tra chính tả type_4,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🟡 Trung bình,Sprint 2
US-077,Xử lý văn bản,Trích xuất bảng type_4,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🟡 Trung bình,Sprint 2
US-078,Xử lý văn bản,Phân loại văn bản type_4,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🟡 Trung bình,Sprint 2
US-079,Xử lý văn bản,Gắn nhãn bảo mật type_4,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🟡 Trung bình,Sprint 2
US-080,Xử lý văn bản,Tóm tắt đa file type_4,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🟡 Trung bình,Sprint 2
US-081,Xử lý văn bản,Tóm tắt PDF type_5,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🟡 Trung bình,Sprint 3
US-082,Xử lý văn bản,Trích xuất công văn type_5,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🟡 Trung bình,Sprint 3
US-083,Xử lý văn bản,OCR hình ảnh type_5,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🟡 Trung bình,Sprint 3
US-084,Xử lý văn bản,Dịch thuật type_5,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🟡 Trung bình,Sprint 3
US-085,Xử lý văn bản,So sánh hợp đồng type_5,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🟡 Trung bình,Sprint 3
US-086,Xử lý văn bản,Kiểm tra chính tả type_5,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🟡 Trung bình,Sprint 3
US-087,Xử lý văn bản,Trích xuất bảng type_5,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🟡 Trung bình,Sprint 3
US-088,Xử lý văn bản,Phân loại văn bản type_5,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🟡 Trung bình,Sprint 3
US-089,Xử lý văn bản,Gắn nhãn bảo mật type_5,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🟡 Trung bình,Sprint 3
US-090,Xử lý văn bản,Tóm tắt đa file type_5,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🟡 Trung bình,Sprint 3
US-091,Xử lý văn bản,Tóm tắt PDF type_6,Là Nhân viên,muốn gửi file PDF,để nắm bắt nội dung chính,🟢 Thấp,Sprint 3
US-092,Xử lý văn bản,Trích xuất công văn type_6,Là Văn thư,muốn nhận diện số công văn,để vào sổ theo dõi,🟢 Thấp,Sprint 3
US-093,Xử lý văn bản,OCR hình ảnh type_6,Là Người dùng,muốn chụp ảnh văn bản giấy,để chuyển thành văn bản số,🟢 Thấp,Sprint 3
US-094,Xử lý văn bản,Dịch thuật type_6,Là Nhân viên,muốn dịch tài liệu sang tiếng Anh,để gửi cho đối tác,🟢 Thấp,Sprint 3
US-095,Xử lý văn bản,So sánh hợp đồng type_6,Là Pháp chế,muốn so sánh 2 bản thảo,để tìm điểm khác biệt,🟢 Thấp,Sprint 3
US-096,Xử lý văn bản,Kiểm tra chính tả type_6,Là Thư ký,muốn soát lỗi văn bản,để đảm bảo tính chuyên nghiệp,🟢 Thấp,Sprint 3
US-097,Xử lý văn bản,Trích xuất bảng type_6,Là Kế toán,muốn lấy dữ liệu từ bảng trong Word,để dán vào Excel,🟢 Thấp,Sprint 3
US-098,Xử lý văn bản,Phân loại văn bản type_6,Là Văn thư,muốn tự động phân loại đơn từ/công văn,để chuyển đúng bộ phận,🟢 Thấp,Sprint 3
US-099,Xử lý văn bản,Gắn nhãn bảo mật type_6,Là Quản lý,muốn nhận diện tài liệu mật,để cảnh báo người dùng,🟢 Thấp,Sprint 3
US-100,Xử lý văn bản,Tóm tắt đa file type_6,Là Lãnh đạo,muốn tóm tắt 5 file cùng lúc,để có cái nhìn tổng thể,🟢 Thấp,Sprint 3
US-101,Soạn thảo văn bản,Soạn công văn mẫu_1,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🔴 Cao,Sprint 2
US-102,Soạn thảo văn bản,Tờ trình mua sắm mẫu_1,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🔴 Cao,Sprint 2
US-103,Soạn thảo văn bản,Biên bản họp mẫu_1,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🔴 Cao,Sprint 2
US-104,Soạn thảo văn bản,Thông báo nội bộ mẫu_1,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🔴 Cao,Sprint 2
US-105,Soạn thảo văn bản,Giấy mời họp mẫu_1,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🔴 Cao,Sprint 2
US-106,Soạn thảo văn bản,Hợp đồng lao động mẫu_1,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🔴 Cao,Sprint 2
US-107,Soạn thảo văn bản,Báo cáo tháng mẫu_1,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🔴 Cao,Sprint 2
US-108,Soạn thảo văn bản,Thư ngỏ mẫu_1,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🔴 Cao,Sprint 2
US-109,Soạn thảo văn bản,Quyết định khen thưởng mẫu_1,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🔴 Cao,Sprint 2
US-110,Soạn thảo văn bản,Giấy ủy quyền mẫu_1,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🔴 Cao,Sprint 2
US-111,Soạn thảo văn bản,Soạn công văn mẫu_2,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🔴 Cao,Sprint 2
US-112,Soạn thảo văn bản,Tờ trình mua sắm mẫu_2,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🔴 Cao,Sprint 2
US-113,Soạn thảo văn bản,Biên bản họp mẫu_2,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🔴 Cao,Sprint 2
US-114,Soạn thảo văn bản,Thông báo nội bộ mẫu_2,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🔴 Cao,Sprint 2
US-115,Soạn thảo văn bản,Giấy mời họp mẫu_2,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🔴 Cao,Sprint 2
US-116,Soạn thảo văn bản,Hợp đồng lao động mẫu_2,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🔴 Cao,Sprint 2
US-117,Soạn thảo văn bản,Báo cáo tháng mẫu_2,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🔴 Cao,Sprint 2
US-118,Soạn thảo văn bản,Thư ngỏ mẫu_2,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🔴 Cao,Sprint 2
US-119,Soạn thảo văn bản,Quyết định khen thưởng mẫu_2,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🔴 Cao,Sprint 2
US-120,Soạn thảo văn bản,Giấy ủy quyền mẫu_2,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🔴 Cao,Sprint 2
US-121,Soạn thảo văn bản,Soạn công văn mẫu_3,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🔴 Cao,Sprint 2
US-122,Soạn thảo văn bản,Tờ trình mua sắm mẫu_3,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🔴 Cao,Sprint 2
US-123,Soạn thảo văn bản,Biên bản họp mẫu_3,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🔴 Cao,Sprint 2
US-124,Soạn thảo văn bản,Thông báo nội bộ mẫu_3,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🔴 Cao,Sprint 2
US-125,Soạn thảo văn bản,Giấy mời họp mẫu_3,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🔴 Cao,Sprint 2
US-126,Soạn thảo văn bản,Hợp đồng lao động mẫu_3,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🔴 Cao,Sprint 2
US-127,Soạn thảo văn bản,Báo cáo tháng mẫu_3,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🔴 Cao,Sprint 2
US-128,Soạn thảo văn bản,Thư ngỏ mẫu_3,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🔴 Cao,Sprint 2
US-129,Soạn thảo văn bản,Quyết định khen thưởng mẫu_3,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🔴 Cao,Sprint 2
US-130,Soạn thảo văn bản,Giấy ủy quyền mẫu_3,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🔴 Cao,Sprint 2
US-131,Soạn thảo văn bản,Soạn công văn mẫu_4,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🔴 Cao,Sprint 2
US-132,Soạn thảo văn bản,Tờ trình mua sắm mẫu_4,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🔴 Cao,Sprint 2
US-133,Soạn thảo văn bản,Biên bản họp mẫu_4,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🔴 Cao,Sprint 2
US-134,Soạn thảo văn bản,Thông báo nội bộ mẫu_4,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🔴 Cao,Sprint 2
US-135,Soạn thảo văn bản,Giấy mời họp mẫu_4,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🔴 Cao,Sprint 2
US-136,Soạn thảo văn bản,Hợp đồng lao động mẫu_4,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🔴 Cao,Sprint 2
US-137,Soạn thảo văn bản,Báo cáo tháng mẫu_4,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🔴 Cao,Sprint 2
US-138,Soạn thảo văn bản,Thư ngỏ mẫu_4,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🔴 Cao,Sprint 2
US-139,Soạn thảo văn bản,Quyết định khen thưởng mẫu_4,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🔴 Cao,Sprint 2
US-140,Soạn thảo văn bản,Giấy ủy quyền mẫu_4,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🔴 Cao,Sprint 2
US-141,Soạn thảo văn bản,Soạn công văn mẫu_5,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 2
US-142,Soạn thảo văn bản,Tờ trình mua sắm mẫu_5,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 2
US-143,Soạn thảo văn bản,Biên bản họp mẫu_5,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 2
US-144,Soạn thảo văn bản,Thông báo nội bộ mẫu_5,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 2
US-145,Soạn thảo văn bản,Giấy mời họp mẫu_5,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 2
US-146,Soạn thảo văn bản,Hợp đồng lao động mẫu_5,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 2
US-147,Soạn thảo văn bản,Báo cáo tháng mẫu_5,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 2
US-148,Soạn thảo văn bản,Thư ngỏ mẫu_5,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 2
US-149,Soạn thảo văn bản,Quyết định khen thưởng mẫu_5,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 2
US-150,Soạn thảo văn bản,Giấy ủy quyền mẫu_5,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 2
US-151,Soạn thảo văn bản,Soạn công văn mẫu_6,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 3
US-152,Soạn thảo văn bản,Tờ trình mua sắm mẫu_6,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 3
US-153,Soạn thảo văn bản,Biên bản họp mẫu_6,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 3
US-154,Soạn thảo văn bản,Thông báo nội bộ mẫu_6,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 3
US-155,Soạn thảo văn bản,Giấy mời họp mẫu_6,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 3
US-156,Soạn thảo văn bản,Hợp đồng lao động mẫu_6,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 3
US-157,Soạn thảo văn bản,Báo cáo tháng mẫu_6,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 3
US-158,Soạn thảo văn bản,Thư ngỏ mẫu_6,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 3
US-159,Soạn thảo văn bản,Quyết định khen thưởng mẫu_6,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 3
US-160,Soạn thảo văn bản,Giấy ủy quyền mẫu_6,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 3
US-161,Soạn thảo văn bản,Soạn công văn mẫu_7,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 3
US-162,Soạn thảo văn bản,Tờ trình mua sắm mẫu_7,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 3
