 PROJECT BACKLOG — Triển khai Trợ lý AI Hành chính Văn phòng (OpenClaw),,,,,,,,,,,,
Phương pháp: Scrum  |  Thời gian: 4 tuần  |  Nhóm: 3 người  |  Sprint: 1 tuần/sprint  |  Tổng: 4 Sprints,,,,,,,,,,,,
ID,Epic,User Story,Mô tả chi tiết,Độ ưu tiên,Story Points,Sprint,Assignee,Trạng thái,Định nghĩa Hoàn thành (DoD),Ghi chú,,
US-11,EPIC-3 Soạn thảo,Soạn biên bản họp,Nhập danh sách người tham dự + nội dung thảo luận → AI sinh biên bản họp đầy đủ,🟡 Trung bình,3,Sprint 3,Bảo Nhân + Đăng Hùng ,📋 To Do,Biên bản có đủ mục theo mẫu chuẩn,,,
US-12,EPIC-3 Soạn thảo,Thư viện mẫu văn bản,"Lưu trữ 5+ mẫu văn bản chuẩn, AI tự chọn mẫu phù hợp theo loại yêu cầu",🟡 Trung bình,3,Sprint 3,Bảo Nhân + Đăng Hùng ,📋 To Do,"Có ít nhất: công văn, tờ trình, thông báo, biên bản, báo cáo",,,
US-13,EPIC-4 Task Mgmt,Trích xuất task từ chat,AI phân tích đoạn hội thoại/văn bản → liệt kê danh sách việc cần làm + người thực hiện + deadline,🔴 Cao,8,Sprint 3,Văn Cường + Bảo Nhân + Đăng Hùng,📋 To Do,Nhận diện đúng ≥80% task trong test cases,NLP entity extraction,,
US-14,EPIC-4 Task Mgmt,Nhắc deadline tự động,Skill cron: mỗi sáng 8h gửi Telegram danh sách task đến hạn trong ngày và tuần,🔴 Cao,5,Sprint 3,Bảo Nhân + Đăng Hùng ,📋 To Do,"Nhắc đúng giờ, đúng nội dung, không bị trùng lặp",Cron job trong OpenClaw,,
US-15,EPIC-4 Task Mgmt,Tích hợp Google Calendar,Task có deadline → tự tạo sự kiện trong Google Calendar với reminder 1 ngày trước,🟡 Trung bình,5,Sprint 3,Văn Cường + Đăng Hùng,📋 To Do,Sự kiện xuất hiện trong Calendar trong vòng 10 giây,Google Calendar API,,
US-16,EPIC-4 Task Mgmt,Dashboard task Kanban,Skill xuất báo cáo task dạng To Do / In Progress / Done qua Telegram mỗi thứ Hai,🟢 Thấp,3,Sprint 4,Văn Cường + Đăng Hùng,📋 To Do,"Báo cáo có định dạng đẹp, dễ đọc",,,
US-17,EPIC-5 Tích hợp,Tích hợp Gmail,"AI đọc email mới → tóm tắt, phân loại ưu tiên, gợi ý trả lời",🟡 Trung bình,8,Sprint 3,Bảo Nhân,📋 To Do,"Xử lý được ≥10 email/ngày, phân loại đúng",Gmail API skill,,
US-18,EPIC-5 Tích hợp,Multi-persona switch,Lệnh chat để chuyển vai: Chuyên viên pháp chế / Thư ký / Hỗ trợ IT,🟡 Trung bình,3,Sprint 4,Bảo Nhân,📋 To Do,"Chuyển persona trong <5 giây, AI hiểu đúng vai trò mới",,,
US-19,EPIC-5 Tích hợp,Webhook nhận thông báo,"Nhận webhook từ hệ thống ngoài (Jira, email server) → AI phân tích và thông báo qua Telegram",🟢 Thấp,5,Sprint 4,Văn Cường ,📋 To Do,Xử lý webhook trong vòng 5 giây,,,
US-20,EPIC-6 QA & Docs,Kiểm thử tích hợp,"Chạy bộ test cases cho 3 use case chính: tóm tắt, soạn thảo, trích xuất task",🔴 Cao,5,Sprint 4,Đăng Hùng,📋 To Do,"Pass ≥90% test cases, thời gian phản hồi <30s",,,
US-21,EPIC-6 QA & Docs,Tài liệu hướng dẫn sử dụng,"Viết user guide: cách cài đặt, danh sách lệnh, ví dụ từng use case, FAQ",🔴 Cao,3,Sprint 4,Đăng Hùng + Văn Cường,📋 To Do,"Tài liệu ≥10 trang, có hình minh họa",,,
US-22,EPIC-6 QA & Docs,Chuẩn bị demo thuyết trình,"Chuẩn bị kịch bản demo live 10 phút: 3 use case chính, dữ liệu thực tế văn phòng",🔴 Cao,3,Sprint 4,Đăng Hùng,📋 To Do,"Demo chạy ổn định, có fallback nếu lỗi",,,
US-23,EPIC-6 QA & Docs,Báo cáo dự án,"Viết báo cáo cuối khoá: bối cảnh, kiến trúc, kết quả, bài học kinh nghiệm",🔴 Cao,3,Sprint 4,Bảo Nhân + Văn Cường + Đăng Hùng,📋 To Do,"Báo cáo ≥20 trang, đúng format môn học",,,
,,,,,,,,,,,,
TỔNG STORY POINTS,,,,,102,,,,,,,
